record_id,sample_id,element_or_analyte,value,unit,medium,measurement_basis,value_qualifier,detection_limit,detection_limit_unit,latitude,longitude,source_crs,coordinate_uncertainty_m,geologic_unit,analytical_method,digestion_or_extraction,laboratory,license,source_tier,source_id,source_locator,sampled_at,sample_depth_min_m,sample_depth_max_m,grain_fraction
soil-as-001,S-AS-001,As,8.0,mg/kg,soil,dry_total,,,,35.01,103.01,EPSG:4326,25,synthetic_granite,ICP-MS,four_acid,Synthetic Lab,CC0-1.0,author_supplement,synthetic-demo-v1,local:fixtures/demo_input.csv#soil-as-001,2026-01-01,0,0.2,<2 mm
soil-as-002,S-AS-002,arsenic,8.5,ppm,topsoil,dry_total,,,,35.02,103.02,EPSG:4326,25,synthetic_granite,ICP-MS,four_acid,Synthetic Lab,CC0-1.0,author_supplement,synthetic-demo-v1,local:fixtures/demo_input.csv#soil-as-002,2026-01-01,0,0.2,<2 mm
soil-as-003,S-AS-003,AS,9.0,µg/g,soil,dry_total,,,,35.03,103.03,EPSG:4326,25,synthetic_granite,ICP-MS,four_acid,Synthetic Lab,CC0-1.0,author_supplement,synthetic-demo-v1,local:fixtures/demo_input.csv#soil-as-003,2026-01-01,0,0.2,<2 mm
soil-as-004,S-AS-004,As,9.5,mg kg-1,soil,dry_total,,,,35.04,103.04,EPSG:4326,25,synthetic_granite,ICP-MS,four_acid,Synthetic Lab,CC0-1.0,author_supplement,synthetic-demo-v1,local:fixtures/demo_input.csv#soil-as-004,2026-01-01,0,0.2,<2 mm
soil-as-005,S-AS-005,As,10.0,mg/kg,soil,dry_total,,,,35.05,103.05,EPSG:4326,25,synthetic_granite,ICP-MS,four_acid,Synthetic Lab,CC0-1.0,author_supplement,synthetic-demo-v1,local:fixtures/demo_input.csv#soil-as-005,2026-01-01,0,0.2,<2 mm
soil-as-006,S-AS-006,As,10.5,mg/kg,soil,dry_total,,,,35.06,103.06,EPSG:4326,25,synthetic_granite,ICP-MS,four_acid,Synthetic Lab,CC0-1.0,author_supplement,synthetic-demo-v1,local:fixtures/demo_input.csv#soil-as-006,2026-01-01,0,0.2,<2 mm
soil-as-007,S-AS-007,As,11.0,mg/kg,soil,dry_total,,,,35.07,103.07,EPSG:4326,25,synthetic_granite,ICP-MS,four_acid,Synthetic Lab,CC0-1.0,author_supplement,synthetic-demo-v1,local:fixtures/demo_input.csv#soil-as-007,2026-01-01,0,0.2,<2 mm
soil-as-008,S-AS-008,As,11.5,mg/kg,soil,dry_total,,,,35.08,103.08,EPSG:4326,25,synthetic_granite,ICP-MS,four_acid,Synthetic Lab,CC0-1.0,author_supplement,synthetic-demo-v1,local:fixtures/demo_input.csv#soil-as-008,2026-01-01,0,0.2,<2 mm
soil-as-009,S-AS-009,As,12.0,mg/kg,soil,dry_total,,,,35.09,103.09,EPSG:4326,25,synthetic_granite,ICP-MS,four_acid,Synthetic Lab,CC0-1.0,author_supplement,synthetic-demo-v1,local:fixtures/demo_input.csv#soil-as-009,2026-01-01,0,0.2,<2 mm
soil-as-010,S-AS-010,As,10.2,mg/kg,soil,dry_total,,,,35.10,103.10,EPSG:4326,25,synthetic_granite,ICP-MS,four_acid,Synthetic Lab,CC0-1.0,author_supplement,synthetic-demo-v1,local:fixtures/demo_input.csv#soil-as-010,2026-01-01,0,0.2,<2 mm
soil-as-011,S-AS-011,As,9.8,mg/kg,soil,dry_total,,,,35.11,103.11,EPSG:4326,25,synthetic_granite,ICP-MS,four_acid,Synthetic Lab,CC0-1.0,author_supplement,synthetic-demo-v1,local:fixtures/demo_input.csv#soil-as-011,2026-01-01,0,0.2,<2 mm
soil-as-012,S-AS-012,As,500,mg/kg,soil,dry_total,,,,35.12,103.12,EPSG:4326,25,synthetic_granite,ICP-MS,four_acid,Synthetic Lab,CC0-1.0,author_supplement,synthetic-demo-v1,local:fixtures/demo_input.csv#soil-as-012,2026-01-01,0,0.2,<2 mm
soil-as-013,S-AS-013,As,<0.10,mg/kg,soil,dry_total,,,,35.13,103.13,EPSG:4326,25,synthetic_granite,ICP-MS,four_acid,Synthetic Lab,CC0-1.0,author_supplement,synthetic-demo-v1,local:fixtures/demo_input.csv#soil-as-013,2026-01-01,0,0.2,<2 mm
water-pb-001,W-PB-001,Pb,0.02,mg/L,groundwater,dissolved,,,,34.90,102.90,EPSG:4326,100,synthetic_aquifer,ICP-MS,filtered_0.45um,Synthetic Lab,CC0-1.0,author_supplement,synthetic-demo-v1,local:fixtures/demo_input.csv#water-pb-001,2026-01-02,,,
water-as-ambiguous,W-AS-001,As,1,ppm,water,dissolved,,,,34.91,102.91,EPSG:4326,100,synthetic_aquifer,ICP-MS,filtered_0.45um,Synthetic Lab,CC0-1.0,author_supplement,synthetic-demo-v1,local:fixtures/demo_input.csv#water-as-ambiguous,2026-01-02,,,
rock-fe-001,R-FE-001,Fe,2.5,wt.%,rock,dry_total,,,,34.92,102.92,EPSG:4326,50,synthetic_basalt,XRF,fused_bead,Synthetic Lab,CC0-1.0,author_supplement,synthetic-demo-v1,local:fixtures/demo_input.csv#rock-fe-001,2026-01-03,,,
swap-coord-001,S-CU-001,Cu,15,mg/kg,soil,dry_total,,,,120,30,EPSG:4326,25,synthetic_granite,ICP-MS,four_acid,Synthetic Lab,CC0-1.0,author_supplement,synthetic-demo-v1,local:fixtures/demo_input.csv#swap-coord-001,2026-01-01,0,0.2,<2 mm
water-cd-nd,W-CD-001,Cd,ND,mg/L,water,dissolved,,0.01,mg/L,34.93,102.93,EPSG:4326,100,synthetic_aquifer,ICP-MS,filtered_0.45um,Synthetic Lab,CC0-1.0,author_supplement,synthetic-demo-v1,local:fixtures/demo_input.csv#water-cd-nd,2026-01-02,,,
water-pb-duplicate,W-PB-001,Pb,0.02,mg/L,groundwater,dissolved,,,,34.90,102.90,EPSG:4326,100,synthetic_aquifer,ICP-MS,filtered_0.45um,Synthetic Lab,CC0-1.0,author_supplement,synthetic-demo-v1,local:fixtures/demo_input.csv#water-pb-duplicate,2026-01-02,,,
