question_id,task_id,split,title,fixture_type,input_count,required_output_count,objective_points,llm_points,status,gold_version
Q01,GGA-DATA-001,public,"全球玄武岩 Ni 数据源选择",curated_offline_catalog_of_real_sources,1,2,80,20,SMOKE_PASSED,5.0.0-draft.1
Q02,GGA-DATA-002,public,"美国本土土壤 Pb 数据源匹配",curated_offline_catalog_of_real_sources,1,1,80,20,SMOKE_PASSED,5.0.0-draft.1
Q03,GGA-NORM-001,public,"固体样品质量分数统一到 mg/kg",synthetic_adversarial_fixture,1,1,80,20,SMOKE_PASSED,5.0.0-draft.1
Q04,GGA-NORM-002,public,"Fe2O3 转 Fe 元素含量",synthetic_adversarial_fixture,2,1,80,20,SMOKE_PASSED,5.0.0-draft.1
Q05,GGA-PROV-001,public,"下载资产完整性与媒体类型验证",synthetic_local_download_responses,4,1,80,20,SMOKE_PASSED,5.0.0-draft.1
Q06,GGA-QC-001,public,"LOD 与限定符语义解析",synthetic_adversarial_fixture,1,1,80,20,SMOKE_PASSED,5.0.0-draft.1
Q07,GGA-SPATIAL-001,public,"坐标质量控制与可地图化判定",synthetic_adversarial_fixture,1,1,80,20,SMOKE_PASSED,5.0.0-draft.1
Q08,GGA-QC-002,public,"重复、平行样和多方法记录处理",synthetic_adversarial_fixture,1,2,80,20,SMOKE_PASSED,5.0.0-draft.1
Q09,GGA-NORM-003,shadow,"介质、相态和干湿基准隔离",synthetic_adversarial_fixture,1,2,80,20,SMOKE_PASSED,5.0.0-draft.1
Q10,GGA-INGEST-001,shadow,"双来源 Schema 漂移适配",synthetic_schema_variants,3,1,80,20,SMOKE_PASSED,5.0.0-draft.1
Q11,GGA-SPATIAL-002,shadow,"地质单元匹配与边界置信度",synthetic_geojson_fixture,3,1,80,20,SMOKE_PASSED,5.0.0-draft.1
Q12,GGA-CONF-001,shadow,"可解释置信度组件评分",synthetic_policy_fixture,2,1,80,20,SMOKE_PASSED,5.0.0-draft.1
Q13,GGA-ANOM-001,shadow,"异常分析准入门槛",synthetic_adversarial_fixture,2,1,80,20,SMOKE_PASSED,5.0.0-draft.1
Q14,GGA-ANOM-002,shadow,"稳健对数 MAD 异常与零尺度回退",synthetic_adversarial_fixture,2,2,80,20,SMOKE_PASSED,5.0.0-draft.1
Q15,GGA-MAP-001,shadow,"可追溯观测点 GeoJSON",synthetic_adversarial_fixture,1,2,80,20,SMOKE_PASSED,5.0.0-draft.1
Q16,GGA-MAP-002,shadow,"预聚合热力图与采样密度披露",synthetic_cell_fixture,2,3,80,20,SMOKE_PASSED,5.0.0-draft.1
Q17,GGA-PROV-002,final_holdout,"来源标识符与元数据一致性",curated_adversarial_metadata_fixture,2,1,80,20,SMOKE_PASSED,5.0.0-draft.1
Q18,GGA-QC-003,final_holdout,"来源特定限定值编码解析",synthetic_source_encoding_fixture,2,1,80,20,SMOKE_PASSED,5.0.0-draft.1
Q19,GGA-NORM-004,final_holdout,"NiO 到 Ni 的未见化学计量换算",synthetic_adversarial_fixture,2,1,80,20,SMOKE_PASSED,5.0.0-draft.1
Q20,GGA-SPATIAL-003,final_holdout,"反经线 GeoJSON 与最小跨度 bbox",synthetic_antimeridian_fixture,1,2,80,20,SMOKE_PASSED,5.0.0-draft.1
Q21,GGA-QC-004,final_holdout,"批次 CRM、空白和重复样 QA/QC 验收",synthetic_lab_qc_fixture,2,1,80,20,SMOKE_PASSED,5.0.0-draft.1
Q22,GGA-LICENSE-001,final_holdout,"许可与再分发决策",synthetic_policy_fixture,2,1,80,20,SMOKE_PASSED,5.0.0-draft.1
Q23,GGA-ANOM-003,final_holdout,"地质背景条件化异常与解释红线",synthetic_context_fixture,2,2,80,20,SMOKE_PASSED,5.0.0-draft.1
Q24,GGA-E2E-001,final_holdout,"端到端小型地球化学图谱验收",synthetic_end_to_end_fixture,5,7,80,20,SMOKE_PASSED,5.0.0-draft.1
