sample_id,audit_type,region,latitude,longitude,geologic_unit_raw
geo-audit-01,multiscale_overlap,North America - Wisconsin,43.074800,-89.384800,Source-reported unit must remain unchanged
geo-audit-02,boundary_probe,North America - Wisconsin,43.084800,-89.384800,
geo-audit-03,multiscale_overlap,North America - Grand Canyon,36.054400,-112.140100,
geo-audit-04,boundary_probe,North America - Grand Canyon,36.064400,-112.140100,
geo-audit-05,coastal,North America - San Francisco,37.774900,-122.419400,
geo-audit-06,continental,North America - Mexico City,19.432600,-99.133200,
geo-audit-07,continental,South America - Quito,-0.180700,-78.467800,
geo-audit-08,continental,South America - Sao Paulo,-23.550500,-46.633300,
geo-audit-09,continental,South America - Patagonia,-50.340000,-72.270000,
geo-audit-10,continental,Europe - London,51.507400,-0.127800,
geo-audit-11,coastal,Europe - Oslo,59.913900,10.752200,
geo-audit-12,mountain,Europe - Alps,46.818200,8.227500,
geo-audit-13,volcanic,Europe - Iceland,64.146600,-21.942600,
geo-audit-14,continental,Africa - Cairo,30.044400,31.235700,
geo-audit-15,coastal,Africa - Cape Town,-33.924900,18.424100,
geo-audit-16,continental,Africa - Nairobi,-1.292100,36.821900,
geo-audit-17,continental,Africa - Sahara,23.416200,25.662800,
geo-audit-18,continental,Asia - Beijing,39.904200,116.407400,
geo-audit-19,coastal,Asia - Tokyo,35.676200,139.650300,
geo-audit-20,mountain,Asia - Kathmandu,27.717200,85.324000,
geo-audit-21,continental,Asia - Delhi,28.613900,77.209000,
geo-audit-22,volcanic,Asia - Jakarta,-6.208800,106.845600,
geo-audit-23,continental,Australia - Perth,-31.952300,115.861300,
geo-audit-24,coastal,Australia - Sydney,-33.868800,151.209300,
geo-audit-25,continental,New Zealand - Christchurch,-43.532100,172.636200,
geo-audit-26,polar,Antarctica - McMurdo,-77.841900,166.686300,
geo-audit-27,ocean,Pacific Ocean,0.000000,-140.000000,
geo-audit-28,ocean,South Atlantic,-35.000000,-15.000000,
geo-audit-29,coastal_boundary,Gulf of Guinea,0.000000,0.000000,
geo-audit-30,island_boundary,Fiji,-17.713400,178.065000,Field notebook text is not a map match
